00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
19740	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	The exhibition runs {{c1::until}} the end of January next year.	before;until
19750	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	She washed her hands {{c1::until}} the smell of the garlic had gone.	until;before
19760	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	She was left to rule the country alone {{c1::after}} the king's death in 1072.	before;after
19770	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	We were invited onto the pitch to meet the players {{c1::after / before}} the match.	after;before
19780	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	It's important to test drive a car {{c1::before}} you buy it.	after;before
19790	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	I didn't think I'd like skiing {{c1::before / until}} I tried it.	before;until
19800	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	Cook the onions {{c1::until}} they are soft.	before;until
19810	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	I waited {{c1::until}} it stopped raining and then went for a walk.	until;before
19820	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	He really didn't know what he was going to say in his speech {{c1::before / until}} he stood up.	before;until
19830	Unit 79: Adverbial clauses of time	Complete the sentences with the correct option. If both options are correct, choose both.	After the party we went clubbing and danced {{c1::until}} three in the morning.	until;before
19840	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::I insisted on holding the children's hands}} as {{c1::the path looked steep and dangerous}}.	I insisted on holding the children's hands;the path looked steep and dangerous
19850	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::My brothers and sisters never asked for my opinion}} because {{c1::I was the youngest in the family}}.	My brothers and sisters never asked for my opinion;I was the youngest in the family
19860	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::I decided to go home}}, seeing that {{c1::it was getting so late}}.	It was getting so late;I decided to go home
19870	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::Why don't you have the rest of the cake}}, seeing as {{c1::you've eaten most of it already}}?	Why don't you have the rest of the cake;You've eaten most of it already
19880	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::Most of the aid workers are volunteers}}, since {{c1::the organisation has little money to spend on full-time staff}}.	The organisation has little money to spend on full-time staff;Most of the aid workers are volunteers
19890	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::There are similarities between the two novels}} in that {{c1::both were set in Russia in the 2000s}}.	Both were set in Russia in the 2000s;There are similarities between the two novels
19900	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::Laurie felt that he had been poorly treated by the company}} inasmuch as {{c1::he hadn't had a pay rise for five years}}.	Laurie felt that he had been poorly treated by the company;He hadn't had a pay rise for five years
19910	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::We have had to build bigger bike sheds}} as {{c1::so many of our employees now cycle to work}}.	We have had to build bigger bike sheds;So many of our employees now cycle to work
19920	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::I gave her something to drink}} because {{c1::she said that she was thirsty}}.	She said that she was thirsty;I gave her something to drink
19930	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::When Susanna was ill I called Petra for advice}}, seeing that {{c1::she used to be a nurse}}.	When Susanna was ill I called Petra for advice;She used to be a nurse
19940	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::I was asked to sit at the back of the boat}} since {{c1::I was the heaviest}}.	I was the heaviest;I was asked to sit at the back of the boat
19950	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Put the sentence beginnings and endings into the gaps in the correct order.	{{c1::Voice recognition software will become much more sophisticated}} in that {{c1::error rates will decrease}}.	Error rates will decrease;Voice recognition software will become much more sophisticated
19960	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	We were very disappointed {{c1::because}} so few people came to the school concert.	because;because of;due to;owing to
19970	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	The company says its poor results are mainly {{c1::because of / due to / owing to}} an increase in the cost of raw materials.	because;because of;due to;owing to
19980	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	It is not clear to what extent the recent extreme weather is {{c1::because of / due to}} climate change.	because;because of;due to;owing to
19990	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	The minister was sacked from the government {{c1::because of / due to / owing to}} her opposition to the war.	because;because of;due to;owing to
20000	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	Maybe she didn't call {{c1::because}} she was too busy.	because;because of;due to;owing to
20010	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	She was appointed head of the finance department largely {{c1::because of / due to / owing to}} her previous experience.	because;because of;due to;owing to
20020	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	The coach arrived 40 minutes late {{c1::because}} the driver lost his way.	because;because of;due to;owing to
20030	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	The report found that the accident was {{c1::because of / due to}} human error.	because;because of;due to;owing to
20040	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	I couldn't sleep last night {{c1::because of / due to / owing to}} the heat.	because;because of;due to;owing to
20050	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	I was getting a lot of neck pain which the doctors found was {{c1::because of / due to}} spending too much time hunched over my laptop.	because;because of;due to;owing to
20060	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	She didn't like living on the main road {{c1::because}} it was so noisy.	because;because of;due to;owing to
20070	Unit 80: Giving reasons: <i>as</i>, <i>because</i>, etc.; <i>for</i> and <i>with</i>	Complete the sentences. Choose all possible correct answers.	The football match has been postponed {{c1::because of / due to / owing to}} the recent bad weather.	because;because of;due to;owing to
20080	Unit 81: Purposes and results: <i>in order to</i>, <i>so as to</i>, etc.	Complete the sentences. Choose a phrase from box (i) and an ending from box (ii).	The museum will be closed for the next three months {{c1::in order to carry out repairs to the roof}}, which are very badly needed.	in order not to;in order to | mark the table;carry out repairs to the roof
20090	Unit 81: Purposes and results: <i>in order to</i>, <i>so as to</i>, etc.	Complete the sentences. Choose a phrase from box (i) and an ending from box (ii).	He put the hot mug on a book {{c1::in order not to mark the table}}, which was very old and valuable.	in order not to;in order to | mark the table;carry out repairs to the roof
